market,date,temperature,rainfall
Bangalore,2023-05-12,28.05,5.17
Bangalore,2023-05-13,27.4,0.0
Bangalore,2023-05-14,28.21,0.0
Bangalore,2023-05-15,28.35,0.3
Bangalore,2023-05-16,28.66,0.26
Bangalore,2023-05-17,29.4,0.83
Bangalore,2023-05-18,29.29,0.06
Bangalore,2023-05-19,27.4,0.01
Bangalore,2023-05-20,27.63,1.85
Bangalore,2023-05-21,27.7,10.02
Bangalore,2023-05-22,28.0,2.9
Bangalore,2023-05-23,27.18,4.04
Bangalore,2023-05-24,26.34,0.78
Bangalore,2023-05-25,26.66,2.64
Bangalore,2023-05-26,27.38,1.23
Bangalore,2023-05-27,27.63,0.43
Bangalore,2023-05-28,27.92,0.1
Bangalore,2023-05-29,28.34,0.01
Bangalore,2023-05-30,26.22,11.13
Bangalore,2023-05-31,26.78,15.29
Bangalore,2023-06-01,26.1,8.32
Bangalore,2023-06-02,25.76,1.39
Bangalore,2023-06-03,28.04,0.0
Bangalore,2023-06-04,27.85,0.01
Bangalore,2023-06-05,26.24,0.01
Bangalore,2023-06-06,27.02,0.77
Bangalore,2023-06-07,26.66,1.66
Bangalore,2023-06-08,25.07,0.48
Bangalore,2023-06-09,26.07,5.86
Bangalore,2023-06-10,25.97,0.16
Bangalore,2023-06-11,26.26,0.01
Bangalore,2023-06-12,25.89,17.72
Bangalore,2023-06-13,26.43,0.06
Bangalore,2023-06-14,26.15,0.36
Bangalore,2023-06-15,27.04,0.03
Bangalore,2023-06-16,27.25,0.03
Bangalore,2023-06-17,26.7,0.04
Bangalore,2023-06-18,25.18,0.09
Bangalore,2023-06-19,24.95,3.0
Bangalore,2023-06-20,24.58,11.28
Bangalore,2023-06-21,23.83,17.12
Bangalore,2023-06-22,25.19,10.89
Bangalore,2023-06-23,24.35,2.47
Bangalore,2023-06-24,23.46,0.1
Bangalore,2023-06-25,23.97,1.31
Bangalore,2023-06-26,24.06,0.41
Bangalore,2023-06-27,24.13,1.07
Bangalore,2023-06-28,24.59,0.04
Bangalore,2023-06-29,24.14,15.3
Bangalore,2023-06-30,24.74,0.21
Bangalore,2023-07-01,24.36,1.11
Bangalore,2023-07-02,23.45,2.35
Bangalore,2023-07-03,23.74,2.0
Bangalore,2023-07-04,23.55,4.77
Bangalore,2023-07-05,22.76,0.82
Bangalore,2023-07-06,23.17,0.11
Bangalore,2023-07-07,24.12,2.34
Bangalore,2023-07-08,23.91,1.67
Bangalore,2023-07-09,24.37,1.12
Bangalore,2023-07-10,23.88,4.22
Bangalore,2023-07-11,24.05,8.85
Bangalore,2023-07-12,23.94,6.89
Bangalore,2023-07-13,23.93,7.74
Bangalore,2023-07-14,23.93,0.45
Bangalore,2023-07-15,24.2,0.88
Bangalore,2023-07-16,24.78,0.04
Bangalore,2023-07-17,24.72,0.08
Bangalore,2023-07-18,25.01,0.01
Bangalore,2023-07-19,24.22,0.1
Bangalore,2023-07-20,24.37,0.1
Bangalore,2023-07-21,23.92,0.07
Bangalore,2023-07-22,24.12,2.62
Bangalore,2023-07-23,24.13,1.33
Bangalore,2023-07-24,23.11,6.94
Bangalore,2023-07-25,22.19,9.18
Bangalore,2023-07-26,22.54,4.37
Bangalore,2023-07-27,22.44,0.14
Bangalore,2023-07-28,24.12,0.33
Bangalore,2023-07-29,24.68,0.1
Bangalore,2023-07-30,25.12,0.01
Bangalore,2023-07-31,25.44,0.0
Bangalore,2023-08-01,24.98,0.0
Bangalore,2023-08-02,24.9,0.0
Bangalore,2023-08-03,25.23,0.0
Bangalore,2023-08-04,25.23,0.05
Bangalore,2023-08-05,25.21,0.01
Bangalore,2023-08-06,25.2,0.75
Bangalore,2023-08-07,25.48,0.79
Bangalore,2023-08-08,25.42,0.04
Bangalore,2023-08-09,25.69,3.61
Bangalore,2023-08-10,24.72,8.78
Bangalore,2023-08-11,24.78,6.87
Bangalore,2023-08-12,24.95,0.46
Bangalore,2023-08-13,25.38,0.11
Bangalore,2023-08-14,24.76,0.02
Bangalore,2023-08-15,25.05,0.21
Bangalore,2023-08-16,25.83,0.17
Bangalore,2023-08-17,25.63,0.0
Bangalore,2023-08-18,24.88,0.0
Bangalore,2023-08-19,25.06,3.68
Bangalore,2023-08-20,25.73,0.08
Bangalore,2023-08-21,26.15,0.02
Bangalore,2023-08-22,25.78,1.32
Bangalore,2023-08-23,25.72,0.87
Bangalore,2023-08-24,25.7,0.01
Bangalore,2023-08-25,26.59,0.0
Bangalore,2023-08-26,24.83,2.1
Bangalore,2023-08-27,25.34,4.62
Bangalore,2023-08-28,26.0,0.19
Bangalore,2023-08-29,26.2,0.42
Bangalore,2023-08-30,26.3,5.91
Bangalore,2023-08-31,24.33,24.84
Bangalore,2023-09-01,24.07,18.54
Bangalore,2023-09-02,23.26,13.36
Bangalore,2023-09-03,23.12,2.88
Bangalore,2023-09-04,22.15,1.67
Bangalore,2023-09-05,23.34,7.96
Bangalore,2023-09-06,23.08,3.59
Bangalore,2023-09-07,23.22,2.34
Bangalore,2023-09-08,23.62,0.31
Bangalore,2023-09-09,23.68,0.81
Bangalore,2023-09-10,24.0,0.44
Bangalore,2023-09-11,23.54,0.42
Bangalore,2023-09-12,24.02,0.87
Bangalore,2023-09-13,24.45,4.49
Bangalore,2023-09-14,24.24,0.56
Bangalore,2023-09-15,23.3,0.22
Bangalore,2023-09-16,24.14,22.37
Bangalore,2023-09-17,24.23,10.14
Bangalore,2023-09-18,23.93,12.75
Bangalore,2023-09-19,24.37,2.29
Bangalore,2023-09-20,23.65,8.95
Bangalore,2023-09-21,22.21,17.78
Bangalore,2023-09-22,24.01,1.08
Bangalore,2023-09-23,23.3,1.14
Bangalore,2023-09-24,22.78,17.96
Bangalore,2023-09-25,21.94,3.51
Bangalore,2023-09-26,23.29,6.22
Bangalore,2023-09-27,23.42,1.5
Bangalore,2023-09-28,22.35,2.7
Bangalore,2023-09-29,22.86,0.89
Bangalore,2023-09-30,22.5,1.65
Bangalore,2023-10-01,23.34,0.26
Bangalore,2023-10-02,23.5,0.35
Bangalore,2023-10-03,23.81,0.0
Bangalore,2023-10-04,24.2,0.12
Bangalore,2023-10-05,23.68,0.22
Bangalore,2023-10-06,23.46,0.43
Bangalore,2023-10-07,24.45,2.23
Bangalore,2023-10-08,24.43,1.88
Bangalore,2023-10-09,24.19,12.02
Bangalore,2023-10-10,23.86,16.63
Bangalore,2023-10-11,23.17,5.73
Bangalore,2023-10-12,22.99,0.13
Bangalore,2023-10-13,22.71,0.02
Bangalore,2023-10-14,22.82,0.82
Bangalore,2023-10-15,23.45,1.97
Bangalore,2023-10-16,23.08,7.93
Bangalore,2023-10-17,23.9,0.18
Bangalore,2023-10-18,23.39,0.19
Bangalore,2023-10-19,23.58,0.0
Bangalore,2023-10-20,23.84,0.0
Bangalore,2023-10-21,23.92,0.03
Bangalore,2023-10-22,23.93,0.01
Bangalore,2023-10-23,23.34,0.0
Bangalore,2023-10-24,22.58,0.0
Bangalore,2023-10-25,22.76,0.0
Bangalore,2023-10-26,22.9,0.0
Bangalore,2023-10-27,23.76,0.0
Bangalore,2023-10-28,24.11,0.02
Bangalore,2023-10-29,23.96,0.73
Bangalore,2023-10-30,22.43,4.87
Bangalore,2023-10-31,22.52,0.68
Bangalore,2023-11-01,23.75,0.01
Bangalore,2023-11-02,24.33,0.0
Bangalore,2023-11-03,24.67,1.43
Bangalore,2023-11-04,23.59,9.78
Bangalore,2023-11-05,23.38,2.41
Bangalore,2023-11-06,22.57,15.2
Bangalore,2023-11-07,22.92,14.83
Bangalore,2023-11-08,23.21,2.75
Bangalore,2023-11-09,21.91,1.97
Bangalore,2023-11-10,22.32,0.66
Bangalore,2023-11-11,22.73,0.0
Bangalore,2023-11-12,21.8,0.0
Bangalore,2023-11-13,22.17,0.06
Bangalore,2023-11-14,21.24,0.2
Bangalore,2023-11-15,22.41,0.03
Bangalore,2023-11-16,23.53,0.0
Bangalore,2023-11-17,23.99,0.0
Bangalore,2023-11-18,24.23,0.0
Bangalore,2023-11-19,23.69,0.0
Bangalore,2023-11-20,23.29,0.0
Bangalore,2023-11-21,23.3,0.33
Bangalore,2023-11-22,23.81,6.48
Bangalore,2023-11-23,23.1,2.8
Bangalore,2023-11-24,23.59,2.44
Bangalore,2023-11-25,23.2,1.3
Bangalore,2023-11-26,22.95,0.42
Bangalore,2023-11-27,23.29,0.47
Bangalore,2023-11-28,23.55,0.14
Bangalore,2023-11-29,23.02,2.4
Bangalore,2023-11-30,22.83,1.96
Bangalore,2023-12-01,23.01,0.4
Bangalore,2023-12-02,23.1,2.97
Bangalore,2023-12-03,22.99,3.13
Bangalore,2023-12-04,22.51,4.86
Bangalore,2023-12-05,22.96,1.48
Bangalore,2023-12-06,23.94,0.79
Bangalore,2023-12-07,24.4,2.5
Bangalore,2023-12-08,22.91,0.14
Bangalore,2023-12-09,22.14,0.13
Bangalore,2023-12-10,23.37,0.03
Bangalore,2023-12-11,22.86,0.04
Bangalore,2023-12-12,22.07,0.03
Bangalore,2023-12-13,20.93,0.0
Bangalore,2023-12-14,20.79,0.0
Bangalore,2023-12-15,22.24,0.12
Bangalore,2023-12-16,23.62,0.19
Bangalore,2023-12-17,22.44,0.06
Bangalore,2023-12-18,21.89,0.03
Bangalore,2023-12-19,21.65,0.0
Bangalore,2023-12-20,21.8,0.0
Bangalore,2023-12-21,22.6,0.0
Bangalore,2023-12-22,22.57,0.0
Bangalore,2023-12-23,20.65,0.0
Bangalore,2023-12-24,21.33,0.0
Bangalore,2023-12-25,22.57,0.01
Bangalore,2023-12-26,21.15,0.0
Bangalore,2023-12-27,21.1,0.0
Bangalore,2023-12-28,21.81,0.0
Bangalore,2023-12-29,22.39,0.0
Bangalore,2023-12-30,22.3,0.01
Bangalore,2023-12-31,21.19,0.0
Bangalore,2024-01-01,21.79,0.0
Bangalore,2024-01-02,22.42,0.0
Bangalore,2024-01-03,22.27,0.01
Bangalore,2024-01-04,21.31,0.13
Bangalore,2024-01-05,22.83,0.08
Bangalore,2024-01-06,22.68,0.02
Bangalore,2024-01-07,22.07,0.24
Bangalore,2024-01-08,22.07,2.55
Bangalore,2024-01-09,21.82,0.32
Bangalore,2024-01-10,22.03,0.01
Bangalore,2024-01-11,22.2,0.0
Bangalore,2024-01-12,21.92,0.0
Bangalore,2024-01-13,23.11,0.0
Bangalore,2024-01-14,23.01,0.0
Bangalore,2024-01-15,22.66,0.0
Bangalore,2024-01-16,22.47,0.0
Bangalore,2024-01-17,22.64,0.0
Bangalore,2024-01-18,22.87,0.0
Bangalore,2024-01-19,23.26,0.0
Bangalore,2024-01-20,24.38,0.0
Bangalore,2024-01-21,24.3,0.0
Bangalore,2024-01-22,24.69,0.0
Bangalore,2024-01-23,24.02,0.0
Bangalore,2024-01-24,24.67,0.0
Bangalore,2024-01-25,24.33,0.0
Bangalore,2024-01-26,23.48,0.0
Bangalore,2024-01-27,23.4,0.0
Bangalore,2024-01-28,23.36,0.0
Bangalore,2024-01-29,23.32,0.0
Bangalore,2024-01-30,23.19,0.0
Bangalore,2024-01-31,24.46,0.0
Bangalore,2024-02-01,24.97,0.0
Bangalore,2024-02-02,25.87,0.0
Bangalore,2024-02-03,26.01,0.0
Bangalore,2024-02-04,24.62,0.0
Bangalore,2024-02-05,24.4,0.0
Bangalore,2024-02-06,24.68,0.0
Bangalore,2024-02-07,24.82,0.0
Bangalore,2024-02-08,25.54,0.0
Bangalore,2024-02-09,24.94,0.0
Bangalore,2024-02-10,24.8,0.0
Bangalore,2024-02-11,24.37,0.0
Bangalore,2024-02-12,23.72,0.0
Bangalore,2024-02-13,23.64,0.0
Bangalore,2024-02-14,25.01,0.0
Bangalore,2024-02-15,24.36,0.0
Bangalore,2024-02-16,23.95,0.0
Bangalore,2024-02-17,24.41,0.0
Bangalore,2024-02-18,24.82,0.0
Bangalore,2024-02-19,25.16,0.0
Bangalore,2024-02-20,25.94,0.0
Bangalore,2024-02-21,26.83,0.0
Bangalore,2024-02-22,26.81,0.0
Bangalore,2024-02-23,27.94,0.0
Bangalore,2024-02-24,27.94,0.0
Bangalore,2024-02-25,27.01,0.0
Bangalore,2024-02-26,25.77,0.0
Bangalore,2024-02-27,26.26,0.0
Bangalore,2024-02-28,26.17,0.0
Bangalore,2024-02-29,25.22,0.0
Bangalore,2024-03-01,25.11,0.0
Bangalore,2024-03-02,26.16,0.0
Bangalore,2024-03-03,26.53,0.0
Bangalore,2024-03-04,27.48,0.0
Bangalore,2024-03-05,27.79,0.0
Bangalore,2024-03-06,27.96,0.0
Bangalore,2024-03-07,27.51,0.0
Bangalore,2024-03-08,28.38,0.0
Bangalore,2024-03-09,28.7,0.0
Bangalore,2024-03-10,28.17,0.0
Bangalore,2024-03-11,27.71,0.0
Bangalore,2024-03-12,27.92,0.0
Bangalore,2024-03-13,28.33,0.0
Bangalore,2024-03-14,29.15,0.0
Bangalore,2024-03-15,29.74,0.0
Bangalore,2024-03-16,28.32,0.0
Bangalore,2024-03-17,27.58,0.0
Bangalore,2024-03-18,27.58,0.0
Bangalore,2024-03-19,27.92,0.0
Bangalore,2024-03-20,27.99,0.0
Bangalore,2024-03-21,27.62,0.0
Bangalore,2024-03-22,28.26,0.0
Bangalore,2024-03-23,28.7,0.0
Bangalore,2024-03-24,28.52,0.0
Bangalore,2024-03-25,28.14,0.0
Bangalore,2024-03-26,28.38,0.0
Bangalore,2024-03-27,27.77,0.0
Bangalore,2024-03-28,28.3,0.0
Bangalore,2024-03-29,28.96,0.0
Bangalore,2024-03-30,28.97,0.0
Bangalore,2024-03-31,28.01,0.0
Bangalore,2024-04-01,28.77,0.0
Bangalore,2024-04-02,29.86,0.0
Bangalore,2024-04-03,29.63,0.01
Bangalore,2024-04-04,29.91,0.0
Bangalore,2024-04-05,30.47,0.0
Bangalore,2024-04-06,30.22,0.0
Bangalore,2024-04-07,30.1,0.0
Bangalore,2024-04-08,29.83,0.0
Bangalore,2024-04-09,28.98,0.0
Bangalore,2024-04-10,29.14,0.0
Bangalore,2024-04-11,29.5,0.0
Bangalore,2024-04-12,29.38,0.09
Bangalore,2024-04-13,28.89,0.0
Bangalore,2024-04-14,29.35,0.0
Bangalore,2024-04-15,29.46,0.0
Bangalore,2024-04-16,29.86,0.0
Bangalore,2024-04-17,31.1,0.0
Bangalore,2024-04-18,32.38,0.0
Bangalore,2024-04-19,32.25,0.0
Bangalore,2024-04-20,32.29,0.0
Bangalore,2024-04-21,31.51,0.0
Bangalore,2024-04-22,31.04,0.0
Bangalore,2024-04-23,30.74,0.0
Bangalore,2024-04-24,30.14,0.0
Bangalore,2024-04-25,30.56,0.0
Bangalore,2024-04-26,30.35,0.0
Bangalore,2024-04-27,30.17,0.0
Bangalore,2024-04-28,31.01,0.0
Bangalore,2024-04-29,31.13,0.0
Bangalore,2024-04-30,31.18,0.0
Bangalore,2024-05-01,32.19,0.0
Bangalore,2024-05-02,31.55,0.39
Bangalore,2024-05-03,32.08,2.79
Bangalore,2024-05-04,30.68,4.16
Bangalore,2024-05-05,31.51,0.08
Bangalore,2024-05-06,31.11,7.09
Bangalore,2024-05-07,29.33,5.19
Bangalore,2024-05-08,27.81,13.68
Bangalore,2024-05-09,27.9,3.35
Bangalore,2024-05-10,27.24,0.29
Bangalore,2024-05-11,27.78,4.72
Bangalore,2024-05-12,27.58,6.78
Bangalore,2024-05-13,26.59,13.03
Bangalore,2024-05-14,26.72,1.44
Bangalore,2024-05-15,27.93,0.39
Bangalore,2024-05-16,26.27,5.4
Bangalore,2024-05-17,27.07,2.23
Bangalore,2024-05-18,26.35,9.96
Bangalore,2024-05-19,25.47,6.36
Bangalore,2024-05-20,24.26,8.68
Bangalore,2024-05-21,25.3,10.0
Bangalore,2024-05-22,27.22,3.97
Bangalore,2024-05-23,27.76,0.15
Bangalore,2024-05-24,27.48,0.7
Bangalore,2024-05-25,23.97,1.03
Bangalore,2024-05-26,25.76,0.0
Bangalore,2024-05-27,26.18,0.0
Bangalore,2024-05-28,26.91,0.0
Bangalore,2024-05-29,26.38,0.04
Bangalore,2024-05-30,26.81,4.17
Bangalore,2024-05-31,27.73,0.07
Bangalore,2024-06-01,26.79,3.46
Bangalore,2024-06-02,25.43,40.31
Bangalore,2024-06-03,25.77,5.84
Bangalore,2024-06-04,25.52,6.31
Bangalore,2024-06-05,25.08,14.12
Bangalore,2024-06-06,24.8,5.84
Bangalore,2024-06-07,24.39,18.93
Bangalore,2024-06-08,24.68,1.67
Bangalore,2024-06-09,24.1,0.31
Bangalore,2024-06-10,23.85,5.98
Bangalore,2024-06-11,23.05,2.59
Bangalore,2024-06-12,23.19,0.54
Bangalore,2024-06-13,23.52,2.94
Bangalore,2024-06-14,23.26,1.49
Bangalore,2024-06-15,24.43,0.0
Bangalore,2024-06-16,24.99,3.29
Bangalore,2024-06-17,24.99,8.99
Bangalore,2024-06-18,24.54,7.31
Bangalore,2024-06-19,23.9,9.54
Bangalore,2024-06-20,24.04,2.11
Bangalore,2024-06-21,23.39,3.07
Bangalore,2024-06-22,23.53,0.19
Bangalore,2024-06-23,23.14,1.19
Bangalore,2024-06-24,23.15,0.04
Bangalore,2024-06-25,22.96,0.12
Bangalore,2024-06-26,22.6,0.2
Bangalore,2024-06-27,21.71,0.03
Bangalore,2024-06-28,23.17,0.02
Bangalore,2024-06-29,24.5,1.3
Bangalore,2024-06-30,24.12,0.29
Bangalore,2024-07-01,22.67,1.5
Bangalore,2024-07-02,24.44,0.01
Bangalore,2024-07-03,24.21,1.33
Bangalore,2024-07-04,25.0,1.25
Bangalore,2024-07-05,23.21,3.89
Bangalore,2024-07-06,23.3,0.52
Bangalore,2024-07-07,24.09,1.7
Bangalore,2024-07-08,23.61,6.31
Bangalore,2024-07-09,23.33,0.24
Bangalore,2024-07-10,23.77,1.32
Bangalore,2024-07-11,24.59,0.0
Bangalore,2024-07-12,23.68,8.3
Bangalore,2024-07-13,23.06,1.01
Bangalore,2024-07-14,23.54,1.15
Bangalore,2024-07-15,23.41,3.28
Bangalore,2024-07-16,23.28,0.94
Bangalore,2024-07-17,23.16,1.35
Bangalore,2024-07-18,22.87,3.79
Bangalore,2024-07-19,23.41,2.78
Bangalore,2024-07-20,23.5,1.57
Bangalore,2024-07-21,23.95,1.9
Bangalore,2024-07-22,23.87,0.65
Bangalore,2024-07-23,23.7,0.69
Bangalore,2024-07-24,23.28,0.85
Bangalore,2024-07-25,23.47,1.31
Bangalore,2024-07-26,23.74,1.25
Bangalore,2024-07-27,23.92,0.04
Bangalore,2024-07-28,24.11,0.0
Bangalore,2024-07-29,24.83,0.64
Bangalore,2024-07-30,23.67,1.85
Bangalore,2024-07-31,24.15,10.13
Bangalore,2024-08-01,24.59,2.38
Bangalore,2024-08-02,23.9,1.37
Bangalore,2024-08-03,23.11,0.28
Bangalore,2024-08-04,22.97,1.59
Bangalore,2024-08-05,24.2,10.98
Bangalore,2024-08-06,23.47,15.89
Bangalore,2024-08-07,23.06,3.1
Bangalore,2024-08-08,23.87,2.29
Bangalore,2024-08-09,24.52,4.41
Bangalore,2024-08-10,24.24,7.89
Bangalore,2024-08-11,24.13,7.35
Bangalore,2024-08-12,23.47,73.08
Bangalore,2024-08-13,25.07,5.34
Bangalore,2024-08-14,25.2,0.17
Bangalore,2024-08-15,25.11,3.68
Bangalore,2024-08-16,25.21,3.51
Bangalore,2024-08-17,24.68,4.03
Bangalore,2024-08-18,24.71,2.7
Bangalore,2024-08-19,24.44,3.09
Bangalore,2024-08-20,24.65,11.78
Bangalore,2024-08-21,24.22,0.88
Bangalore,2024-08-22,23.63,0.01
Bangalore,2024-08-23,23.9,0.0
Bangalore,2024-08-24,23.08,0.19
Bangalore,2024-08-25,23.04,0.19
Bangalore,2024-08-26,23.74,0.02
Bangalore,2024-08-27,22.98,1.36
Bangalore,2024-08-28,22.7,0.13
Bangalore,2024-08-29,23.53,10.45
Bangalore,2024-08-30,22.87,7.47
Bangalore,2024-08-31,22.57,4.21
Bangalore,2024-09-01,22.91,0.83
Bangalore,2024-09-02,22.85,3.62
Bangalore,2024-09-03,23.73,1.5
Bangalore,2024-09-04,23.5,1.76
Bangalore,2024-09-05,23.42,1.89
Bangalore,2024-09-06,23.44,3.1
Bangalore,2024-09-07,23.32,0.58
Bangalore,2024-09-08,23.43,0.15
Bangalore,2024-09-09,24.06,0.19
Bangalore,2024-09-10,23.99,0.56
Bangalore,2024-09-11,23.94,0.04
Bangalore,2024-09-12,23.36,0.0
Bangalore,2024-09-13,24.15,0.0
Bangalore,2024-09-14,24.32,0.0
Bangalore,2024-09-15,24.25,0.0
Bangalore,2024-09-16,23.91,0.0
Bangalore,2024-09-17,24.21,0.0
Bangalore,2024-09-18,23.71,0.0
Bangalore,2024-09-19,24.46,0.05
Bangalore,2024-09-20,24.51,0.66
Bangalore,2024-09-21,24.91,0.4
Bangalore,2024-09-22,24.12,7.02
Bangalore,2024-09-23,23.66,0.89
Bangalore,2024-09-24,23.96,7.5
Bangalore,2024-09-25,24.05,0.14
Bangalore,2024-09-26,23.34,0.0
Bangalore,2024-09-27,24.03,0.88
Bangalore,2024-09-28,24.43,6.65
Bangalore,2024-09-29,24.86,11.05
Bangalore,2024-09-30,24.85,0.06
Bangalore,2024-10-01,25.23,0.04
Bangalore,2024-10-02,25.74,16.43
Bangalore,2024-10-03,24.24,12.29
Bangalore,2024-10-04,23.56,15.23
Bangalore,2024-10-05,23.64,13.54
Bangalore,2024-10-06,21.57,7.69
Bangalore,2024-10-07,22.77,0.6
Bangalore,2024-10-08,23.56,5.68
Bangalore,2024-10-09,23.68,2.06
Bangalore,2024-10-10,23.55,1.75
Bangalore,2024-10-11,23.34,1.51
Bangalore,2024-10-12,22.71,7.32
Bangalore,2024-10-13,22.95,5.01
Bangalore,2024-10-14,22.56,9.57
Bangalore,2024-10-15,22.27,20.31
Bangalore,2024-10-16,22.09,22.76
Bangalore,2024-10-17,23.47,2.03
Bangalore,2024-10-18,22.53,7.63
Bangalore,2024-10-19,22.6,12.21
Bangalore,2024-10-20,23.21,10.78
Bangalore,2024-10-21,23.65,19.09
Bangalore,2024-10-22,23.84,7.19
Bangalore,2024-10-23,23.74,17.01
Bangalore,2024-10-24,22.95,3.68
Bangalore,2024-10-25,23.01,0.75
Bangalore,2024-10-26,22.06,0.0
